purchase_frequency,avg_order_value,customer_satisfaction,customer_age,customer_gender,net_promoter_score,engagement_level,loyalty_program_membership,age_group,customer_loyalty_score
3,200,,59,male,2,medium,NO,56-65,51
1,225,7,51,male,,high,NO,46-55,46
6,150,8,43,female,9,,NO,,27
1,,2,44,,4,high,YES,36-45,78
10,225,4,34,female,5,high,YES,26-35,27
1,175,1,42,female,,high,NO,36-45,62
6,75,8,26,male,2,high,NO,26-35,71
3,100,7,,male,6,high,YES,,54
9,225,,55,female,3,low,NO,,43
5,50,10,32,male,0,low,YES,26-35,79
6,175,6,43,male,1,medium,NO,,56
5,225,4,35,female,7,medium,YES,,22
10,,7,55,male,6,high,NO,46-55,66
4,75,2,45,female,10,low,NO,,43
3,175,2,18,,3,low,NO,,58
2,75,,58,male,10,high,YES,56-65,39
4,75,3,55,male,10,low,YES,46-55,38
8,225,7,59,,5,high,YES,,22
3,75,7,65,male,5,high,YES,56-65,51
5,200,5,53,,2,high,YES,46-55,43
6,75,5,40,male,6,high,NO,36-45,56
,150,,31,female,0,low,NO,26-35,72
2,100,3,49,,,high,YES,46-55,71
1,250,1,27,female,9,medium,NO,26-35,16
8,,6,53,male,6,medium,NO,46-55,69
1,150,1,66,female,2,low,NO,66-70,56
1,100,,29,male,4,high,NO,26-35,66
4,50,8,50,,6,high,NO,46-55,55
1,225,10,66,,3,low,NO,66-70,32
7,100,9,50,female,,medium,YES,46-55,65
1,125,3,34,female,10,low,NO,26-35,35
5,50,1,19,female,10,high,NO,18-25,52
,225,8,58,male,7,medium,YES,56-65,15
8,100,1,26,male,,,YES,26-35,80
7,,2,40,female,,high,YES,36-45,91
9,200,8,61,female,1,high,NO,56-65,43
,150,5,36,female,4,low,YES,36-45,47
10,175,3,61,male,2,medium,YES,56-65,49
1,,9,54,male,6,low,NO,46-55,66
8,200,6,,female,2,high,YES,66-70,49
,75,1,49,male,3,high,NO,46-55,72
7,50,,44,male,2,medium,NO,36-45,82
8,25,9,29,male,6,medium,YES,26-35,62
4,25,2,42,female,2,medium,NO,36-45,84
5,175,6,54,female,2,low,NO,46-55,49
4,25,8,56,female,0,medium,NO,56-65,84
6,200,1,31,male,10,,YES,26-35,21
7,,8,26,female,6,medium,YES,26-35,66
10,75,9,63,female,3,,NO,,60
7,75,10,46,female,4,high,YES,46-55,52
10,225,9,26,male,3,medium,NO,26-35,40
10,225,8,28,female,6,high,NO,26-35,25
,75,1,29,male,6,,YES,,61
,175,4,48,,5,medium,NO,46-55,42
10,200,3,57,male,2,low,YES,56-65,44
7,,,51,female,3,low,YES,,83
2,75,3,45,female,3,high,NO,36-45,66
9,,3,35,female,8,medium,NO,26-35,67
,225,3,39,female,2,low,NO,36-45,47
10,100,,32,female,10,high,NO,26-35,40
9,75,9,69,male,1,low,YES,66-70,65
9,50,,54,male,7,high,NO,,59
2,,4,60,female,5,high,NO,56-65,70
,25,7,20,male,6,medium,NO,,70
7,50,9,29,,,low,NO,26-35,85
,100,10,29,female,4,high,YES,26-35,51
5,75,8,21,female,5,low,NO,18-25,62
6,,3,,male,1,high,YES,18-25,96
9,100,7,40,male,2,high,YES,36-45,60
6,150,10,29,,,high,NO,,62
1,150,10,39,male,,high,NO,36-45,61
2,75,8,26,,4,low,YES,,61
3,200,6,64,female,3,high,NO,56-65,37
,175,1,58,male,,low,YES,56-65,59
2,100,10,58,male,4,low,YES,56-65,50
2,200,3,33,female,6,medium,YES,26-35,32
9,50,9,48,male,7,low,YES,46-55,52
2,125,9,35,male,,,NO,26-35,69
5,75,8,25,,9,low,YES,18-25,43
5,250,,,male,9,,YES,66-70,22
4,150,6,49,male,5,high,YES,46-55,40
4,150,8,68,female,7,low,YES,66-70,27
9,175,7,38,male,8,low,NO,36-45,30
10,175,9,22,male,1,medium,NO,18-25,58
7,175,3,36,,6,low,NO,36-45,42
2,100,6,38,male,6,low,NO,36-45,53
6,50,,,male,8,medium,NO,,68
10,250,2,,,1,low,NO,46-55,55
7,175,10,56,female,5,high,NO,56-65,32
1,25,9,67,female,8,high,NO,,47
5,25,8,27,male,1,medium,NO,26-35,87
10,125,2,67,male,5,low,YES,66-70,47
8,50,7,27,male,1,high,YES,26-35,77
,75,8,39,female,5,high,NO,36-45,55
8,25,2,55,male,,low,YES,46-55,87
8,50,4,25,male,0,medium,NO,18-25,90
9,25,8,33,female,5,,YES,26-35,66
1,75,7,37,female,,low,NO,36-45,78
7,200,5,64,female,10,,NO,56-65,14
6,250,9,41,female,6,medium,YES,,15
3,250,3,50,male,6,high,YES,46-55,19
8,150,5,67,male,8,medium,NO,66-70,31
8,25,1,53,female,2,high,NO,46-55,81
8,50,,39,,10,low,NO,36-45,53
5,50,8,55,female,6,low,YES,46-55,52
7,200,3,,male,5,medium,NO,18-25,48
3,200,3,23,male,7,,YES,18-25,32
4,,9,68,female,1,medium,NO,66-70,80
5,,,35,female,4,low,NO,26-35,84
1,150,8,40,female,,medium,YES,36-45,58
9,125,2,37,female,10,,NO,36-45,35
9,250,10,,female,6,low,YES,18-25,22
3,100,8,18,male,10,,YES,,36
1,150,7,25,female,0,high,NO,18-25,64
7,25,2,24,female,10,high,YES,18-25,51
1,125,10,,female,6,high,YES,26-35,45
3,150,1,24,male,9,low,YES,18-25,35
6,250,9,29,male,8,,YES,26-35,12
7,125,,23,male,2,low,NO,18-25,72
,25,10,18,male,4,medium,NO,,77
9,,4,44,female,2,medium,YES,36-45,83
9,25,9,36,female,2,high,YES,36-45,73
2,25,4,49,female,,medium,NO,46-55,88
,100,6,63,male,6,high,YES,56-65,42
3,,8,30,,0,high,YES,26-35,89
3,100,4,56,female,6,high,NO,56-65,47
9,175,10,39,female,4,medium,YES,36-45,38
5,225,8,34,female,0,high,NO,26-35,47
10,175,,35,male,3,medium,YES,26-35,53
,200,9,58,male,0,low,YES,56-65,46
8,25,2,31,female,1,medium,YES,26-35,86
8,50,7,,male,5,medium,NO,26-35,73
4,225,3,62,female,5,medium,NO,56-65,30
10,125,1,52,male,0,low,NO,46-55,74
,125,5,23,,3,high,YES,18-25,58
2,150,,40,female,4,high,NO,36-45,53
10,,3,51,female,2,high,NO,46-55,84
7,175,2,66,male,0,low,NO,66-70,60
5,25,3,57,male,5,high,NO,56-65,69
7,200,10,45,male,8,low,NO,36-45,21
10,150,2,34,female,7,,NO,26-35,42
1,100,5,,male,7,high,YES,56-65,52
2,225,1,29,male,,low,NO,26-35,59
10,175,8,54,male,10,low,NO,46-55,20
10,200,1,27,male,,high,NO,26-35,62
1,200,1,,male,7,medium,YES,,38
4,150,7,48,male,0,medium,YES,46-55,60
,75,4,69,male,9,low,NO,66-70,42
,150,4,41,male,,low,NO,36-45,68
8,25,9,39,female,0,high,NO,36-45,84
3,50,4,65,female,6,low,NO,56-65,57
6,50,5,48,female,8,,YES,46-55,48
5,,3,40,male,7,high,NO,36-45,69
8,150,3,26,male,1,,NO,26-35,68
,50,2,30,male,,,NO,26-35,91
,250,10,61,male,7,high,NO,56-65,10
1,225,6,64,,6,low,NO,56-65,24
3,50,5,26,male,4,medium,YES,26-35,71
9,225,7,54,female,6,low,NO,46-55,23
9,225,1,27,female,8,,NO,26-35,26
9,100,4,23,male,,,NO,18-25,80
7,200,10,56,male,9,high,NO,,13
,225,2,49,male,10,,NO,46-55,15
6,,2,24,female,4,medium,NO,,86
8,25,4,69,female,8,low,NO,66-70,53
5,250,2,53,male,,low,NO,,48
10,125,1,,female,9,low,YES,18-25,42
7,250,5,47,female,3,low,NO,46-55,33
3,225,7,34,female,0,low,YES,26-35,46
6,200,1,,male,4,low,NO,46-55,54
3,225,3,61,female,0,high,YES,56-65,43
9,200,1,59,male,2,high,YES,56-65,46
10,75,5,59,male,3,high,NO,56-65,64
4,25,1,28,female,9,high,NO,26-35,59
6,150,8,,male,0,,NO,18-25,72
1,250,6,63,female,7,low,NO,56-65,15
6,175,9,49,male,5,medium,YES,46-55,33
8,125,7,51,female,5,low,NO,,46
6,150,,39,male,4,low,YES,,53
2,225,2,25,female,9,medium,YES,18-25,18
3,225,4,61,male,6,medium,YES,56-65,23
5,25,3,39,female,0,medium,YES,,87
1,200,2,42,female,6,low,YES,36-45,31
4,25,8,41,,7,high,NO,36-45,59
2,100,5,44,,9,high,NO,,39
9,200,8,41,male,7,low,YES,36-45,22
5,,8,49,female,1,high,YES,46-55,80
6,50,5,56,male,4,low,NO,56-65,68
8,50,4,35,,0,medium,NO,26-35,88
10,250,10,65,male,2,low,YES,56-65,27
10,175,8,63,female,10,,NO,,14
9,175,10,29,male,1,high,YES,26-35,50
6,,3,53,female,,medium,NO,46-55,95
5,125,7,23,male,8,medium,NO,18-25,43
4,,3,21,female,0,low,YES,18-25,95
5,50,1,43,male,3,medium,YES,36-45,73
,200,3,53,female,1,medium,NO,,51
4,75,3,56,female,6,high,NO,56-65,53
1,50,,18,male,,low,NO,,95
5,,8,,female,10,high,YES,26-35,55
4,225,3,25,male,0,,NO,18-25,58
,250,2,46,female,0,medium,NO,46-55,47
8,,10,66,male,3,medium,YES,66-70,71
8,100,3,20,male,7,low,YES,18-25,53
5,100,4,,female,9,low,YES,26-35,45
6,150,8,45,female,,low,NO,36-45,62
2,225,10,26,male,0,low,NO,26-35,50
4,,6,64,female,1,low,YES,56-65,80
6,25,1,67,male,9,medium,YES,66-70,52
2,100,3,63,female,3,medium,YES,56-65,56
3,175,2,57,male,4,high,YES,56-65,41
10,,5,66,male,8,,NO,,60
10,200,8,43,male,8,high,NO,36-45,23
8,50,8,,female,3,low,YES,,74
4,100,4,39,female,2,high,YES,36-45,64
9,150,2,25,male,9,,YES,18-25,35
8,250,,22,female,10,medium,NO,18-25,16
4,75,7,34,male,10,high,NO,,40
2,125,2,54,male,8,low,NO,46-55,42
8,75,5,40,male,8,,YES,36-45,47
3,225,10,31,male,9,low,NO,26-35,15
,175,3,66,male,6,high,YES,66-70,31
7,150,7,52,male,,high,YES,46-55,57
3,50,1,37,male,6,medium,NO,36-45,67
7,100,6,55,male,5,high,NO,,52
6,225,4,32,female,4,low,YES,26-35,33
3,175,9,66,male,0,low,YES,66-70,50
10,125,6,61,male,8,low,NO,56-65,36
5,150,6,60,female,2,high,NO,56-65,52
3,75,9,28,female,2,high,NO,26-35,70
1,25,7,,male,9,medium,YES,36-45,58
6,200,,38,male,6,low,YES,36-45,36
9,200,4,22,female,3,high,YES,,43
9,75,,,female,5,high,NO,46-55,71
5,100,2,69,female,2,low,YES,,61
2,225,1,67,male,4,low,NO,66-70,35
1,,,69,female,8,,YES,66-70,58
2,175,8,,male,9,medium,YES,,28
5,25,7,21,male,10,high,NO,18-25,53
,175,10,24,female,7,medium,NO,18-25,32
3,175,5,53,,3,medium,NO,46-55,49
,75,8,39,male,8,high,YES,,43
7,50,2,62,male,6,low,NO,56-65,61
,100,10,59,female,0,medium,YES,56-65,62
,50,2,,male,7,medium,NO,46-55,70
9,,2,45,,7,high,NO,36-45,70
10,250,7,,female,0,high,NO,36-45,50
7,25,10,42,male,3,high,YES,36-45,69
,175,8,34,female,1,medium,YES,26-35,51
3,175,3,32,male,6,,YES,26-35,38
2,175,5,44,male,9,medium,YES,36-45,25
6,175,6,58,male,7,low,NO,56-65,31
8,100,4,32,male,6,high,YES,26-35,52
5,175,9,44,male,1,medium,YES,36-45,48
8,25,10,42,male,0,medium,YES,36-45,82
3,250,9,36,male,10,low,YES,36-45,2
9,175,8,40,male,7,low,YES,36-45,29
8,75,3,19,female,,medium,NO,18-25,86
10,250,2,31,female,7,low,YES,26-35,20
2,100,2,19,male,3,low,NO,18-25,72
8,75,4,50,,9,low,NO,46-55,45
4,150,9,27,female,7,medium,YES,26-35,35
7,75,4,42,female,4,,NO,36-45,65
9,250,2,38,male,,medium,NO,36-45,51
5,125,4,,female,9,low,NO,26-35,44
10,50,8,53,male,9,low,YES,46-55,43
2,100,5,44,female,7,,NO,36-45,46
4,200,,31,male,6,low,YES,26-35,37
2,225,1,30,male,10,low,NO,26-35,21
5,125,9,47,,6,low,NO,,44
,175,9,,male,9,low,YES,36-45,29
10,25,,21,female,9,medium,NO,18-25,63
3,,,22,male,7,high,YES,18-25,72
1,50,4,57,male,4,,NO,56-65,69
,225,4,55,female,0,,NO,46-55,48
7,25,9,37,female,3,medium,NO,,75
1,25,3,41,female,0,high,NO,36-45,89
3,,3,27,female,3,low,YES,26-35,83
5,50,5,67,female,8,low,NO,66-70,48
8,150,2,41,male,10,high,YES,,25
4,25,1,27,male,5,medium,YES,26-35,74
1,225,,28,male,0,medium,NO,26-35,60
10,225,9,55,female,8,medium,YES,46-55,10
9,100,5,44,male,0,high,NO,36-45,74
1,250,9,27,male,9,,NO,26-35,11
1,175,1,67,male,,high,NO,66-70,59
6,250,8,30,male,2,medium,NO,26-35,39
2,150,2,65,female,1,high,YES,56-65,53
7,50,5,29,male,10,low,YES,26-35,47
,175,4,57,male,5,,YES,56-65,37
4,100,1,69,female,4,low,YES,66-70,55
3,,5,47,male,9,high,NO,46-55,59
9,225,1,35,,6,low,NO,26-35,35
3,125,,37,female,9,medium,NO,36-45,41
7,75,2,51,male,1,low,NO,46-55,79
3,75,5,33,female,2,low,NO,,74
9,75,8,31,female,4,medium,NO,26-35,64
5,200,1,28,,0,high,YES,26-35,58
10,250,4,,female,7,medium,NO,56-65,28
2,150,,27,female,5,,YES,26-35,49
3,175,3,25,female,7,low,YES,18-25,34
,250,1,56,,6,high,YES,56-65,20
,100,9,35,male,,medium,YES,26-35,71
10,125,3,55,female,2,high,YES,46-55,56
6,150,1,59,male,3,high,YES,56-65,50
4,200,9,61,male,,low,NO,56-65,49
,200,8,62,male,2,low,YES,56-65,40
8,175,4,55,female,5,low,YES,46-55,35
9,250,,38,male,,medium,NO,36-45,53
5,,2,52,female,1,low,NO,46-55,91
1,200,3,53,female,0,high,YES,46-55,49
7,,8,40,male,10,medium,NO,36-45,55
2,25,2,29,female,5,low,NO,26-35,75
5,200,6,,female,2,medium,NO,,54
4,,,44,male,7,low,YES,36-45,69
1,,4,44,male,7,medium,YES,,66
9,,3,61,male,5,low,NO,56-65,74
7,100,,55,female,6,low,NO,46-55,54
4,225,4,20,male,4,high,NO,18-25,40
9,75,6,34,female,5,medium,NO,26-35,61
5,25,7,45,male,2,low,NO,36-45,80
4,100,9,57,female,5,,NO,56-65,50
1,225,3,37,female,7,low,YES,36-45,24
,100,5,44,male,6,medium,NO,36-45,53
,225,5,40,male,6,low,YES,36-45,26
5,125,2,60,male,9,high,NO,56-65,34
2,225,1,,male,2,high,NO,26-35,54
5,150,10,44,male,9,medium,YES,36-45,23
3,50,2,32,female,,medium,NO,26-35,89
1,150,6,53,female,9,medium,NO,46-55,27
8,175,7,65,,4,medium,NO,56-65,40
,225,5,,male,7,medium,YES,46-55,30
3,200,,56,female,5,,YES,56-65,34
5,75,4,24,female,7,,YES,18-25,53
5,250,,34,male,5,low,YES,26-35,32
3,250,8,68,male,0,medium,NO,66-70,39
6,250,5,47,female,10,high,YES,,0
4,250,,20,male,5,low,NO,18-25,37
4,100,1,61,female,1,medium,YES,56-65,67
1,225,9,66,male,10,low,YES,66-70,1
9,100,6,62,female,10,medium,NO,56-65,31
4,225,7,37,male,5,low,YES,36-45,28
6,100,1,37,male,8,low,YES,36-45,47
8,150,9,31,female,4,low,NO,26-35,48
9,75,5,24,male,7,medium,YES,18-25,55
1,75,10,,female,,high,YES,18-25,76
10,225,10,65,male,10,low,NO,56-65,4
1,75,8,43,male,6,low,YES,36-45,51
4,175,5,32,female,1,low,YES,26-35,54
,175,10,41,female,1,medium,YES,36-45,47
6,250,3,,male,4,low,NO,66-70,42
3,50,,43,,,high,YES,36-45,85
,250,8,19,male,7,high,NO,18-25,20
3,250,6,,female,6,medium,NO,,30
1,200,10,18,male,3,low,NO,,46
,25,5,37,male,,high,YES,36-45,86
9,100,,52,male,1,medium,YES,46-55,71
6,50,5,35,,0,high,YES,26-35,81
1,50,5,,female,9,low,NO,56-65,57
3,200,6,21,,0,medium,YES,18-25,57
,75,10,60,female,9,medium,NO,56-65,37
10,125,1,24,male,8,medium,NO,18-25,48
1,100,1,69,male,3,low,NO,66-70,64
10,175,4,,female,1,,YES,66-70,62
,225,5,32,female,3,high,NO,26-35,40
5,50,7,29,female,3,medium,NO,,73
9,225,3,66,,4,medium,YES,66-70,30
7,75,4,40,male,8,medium,NO,36-45,53
5,125,10,59,female,8,high,NO,,29
1,25,8,57,male,3,medium,NO,56-65,73
10,,4,32,female,4,medium,NO,26-35,81
10,200,10,49,female,8,medium,NO,46-55,18
5,175,5,61,male,10,low,NO,56-65,21
9,100,2,,female,6,high,YES,36-45,57
7,75,3,34,female,7,high,NO,26-35,54
8,200,2,102,female,3,,NO,56-65,35
1,,10,95,female,9,high,YES,26-35,38
7,125,4,99,male,0,high,YES,46-55,56
